Topology,F,Raw p,eta_squared,Levene p,Welch ANOVA p,Kruskal-Wallis p,Holm p
BA,82.87461815069412,2.5147492456745042e-29,0.358183705771555,0.0029537396188952917,2.4112964868428527e-30,4.032753871931139e-25,7.544247737023513e-29
ER,0.0004653020000283543,0.9995348069647947,3.133336983706323e-06,0.09807793154303619,0.9995006549237491,0.9411065766182952,1.0
WS,0.4772974700289036,0.6209330188882853,0.0032038268792258487,0.7194449288103485,0.6194755948396079,0.6855281537794808,1.0
