topology,trial,initial_infected,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
WS,44,1,13.0,23.0,632,0.998,19908.5,True,True,161
WS,44,5,9.0,19.0,638,1.0,19937.5,True,True,172
WS,44,10,6.0,16.0,647,0.999,19444.0,True,True,170
WS,45,1,17.0,26.0,646,0.999,20550.5,True,True,173
WS,45,5,9.0,18.0,662,1.0,20553.5,True,True,209
WS,45,10,6.0,13.0,653,1.0,19123.0,True,True,155
WS,46,1,16.0,26.0,623,1.0,20045.5,True,True,147
WS,46,5,8.0,16.0,623,1.0,20200.5,True,True,148
WS,46,10,6.0,14.0,674,0.997,19816.0,True,True,185
WS,47,1,18.0,28.0,625,1.0,21247.5,True,True,192
WS,47,5,10.0,20.0,603,1.0,20632.5,True,True,206
WS,47,10,5.0,14.0,646,1.0,20548.0,True,True,173
WS,48,1,22.0,32.0,629,1.0,20074.5,True,True,215
WS,48,5,8.0,15.0,656,1.0,20417.5,True,True,173
WS,48,10,7.0,15.0,682,1.0,20221.0,True,True,154
WS,49,1,20.0,32.0,609,1.0,19906.5,True,True,202
WS,49,5,9.0,18.0,673,1.0,20347.5,True,True,146
WS,49,10,6.0,15.0,663,0.999,21021.0,True,True,154
