topology,trial,initial_infected,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
BA,28,10,3.0,6.0,749,0.996,18943.0,True,True,184
BA,29,1,5.0,8.0,760,0.997,20309.5,True,True,153
BA,29,5,6.0,9.0,740,0.991,19886.5,True,True,143
BA,29,10,4.0,7.0,737,0.995,20118.0,True,True,133
BA,30,1,7.0,10.0,732,0.998,19255.5,True,True,149
BA,30,5,5.0,7.0,730,0.994,20070.5,True,True,154
BA,30,10,3.0,6.0,756,0.996,19082.0,True,True,169
BA,31,1,7.0,10.0,721,0.99,19587.5,True,True,210
BA,31,5,4.0,7.0,734,0.997,19517.5,True,True,207
BA,31,10,4.0,7.0,741,0.993,19788.0,True,True,155
BA,32,1,6.0,10.0,748,0.995,20284.5,True,True,163
BA,32,5,4.0,7.0,749,0.994,20192.5,True,True,168
BA,32,10,3.0,7.0,746,0.993,19301.0,True,True,154
BA,33,1,5.0,8.0,751,0.997,20710.5,True,True,146
BA,33,5,4.0,7.0,777,0.997,20873.5,True,True,143
BA,33,10,4.0,7.0,739,0.997,20264.0,True,True,153
BA,34,1,11.0,14.0,740,0.995,19089.5,True,True,162
BA,34,5,5.0,8.0,718,0.99,18870.5,True,True,118
BA,34,10,5.0,8.0,731,0.998,19483.0,True,True,116
BA,35,1,,,1,0.002,4.5,False,False,6
BA,35,5,5.0,8.0,782,0.992,20091.5,True,True,190
BA,35,10,5.0,8.0,745,0.997,19308.0,True,True,148
BA,36,1,6.0,9.0,718,0.994,19846.5,True,True,171
BA,36,5,3.0,6.0,744,1.0,20216.5,True,True,188
BA,36,10,4.0,7.0,717,0.995,18191.0,True,True,147
BA,37,1,8.0,12.0,744,0.996,20350.5,True,True,205
BA,37,5,6.0,8.0,735,0.995,20561.5,True,True,145
BA,37,10,5.0,9.0,721,0.99,19704.0,True,True,175
BA,38,1,7.0,10.0,746,0.996,20879.5,True,True,165
BA,38,5,4.0,7.0,721,0.994,20850.5,True,True,188
BA,38,10,4.0,7.0,745,0.997,19447.0,True,True,228
BA,39,1,9.0,12.0,733,0.991,20190.5,True,True,144
BA,39,5,5.0,8.0,738,0.99,20141.5,True,True,144
BA,39,10,3.0,6.0,744,0.994,20910.0,True,True,140
BA,40,1,5.0,8.0,750,0.996,20756.5,True,True,157
BA,40,5,5.0,8.0,763,0.995,20792.5,True,True,135
BA,40,10,4.0,7.0,744,0.995,20747.0,True,True,158
BA,41,1,5.0,9.0,743,0.997,19647.5,True,True,127
BA,41,5,4.0,8.0,726,0.995,19635.5,True,True,167
BA,41,10,4.0,7.0,771,0.996,19917.0,True,True,142
BA,42,1,12.0,15.0,762,0.993,18521.5,True,True,149
BA,42,5,5.0,8.0,742,0.999,18182.5,True,True,194
BA,42,10,4.0,8.0,748,0.997,19676.0,True,True,143
BA,43,1,4.0,7.0,724,0.995,19997.5,True,True,121
BA,43,5,4.0,8.0,739,0.992,19746.5,True,True,116
BA,43,10,4.0,7.0,738,0.994,20906.0,True,True,213
BA,44,1,10.0,13.0,737,0.996,18951.5,True,True,123
BA,44,5,5.0,8.0,753,0.997,19240.5,True,True,146
BA,44,10,3.0,7.0,752,0.991,19995.0,True,True,158
BA,45,1,18.0,21.0,720,0.996,19639.5,True,True,160
BA,45,5,5.0,8.0,708,0.991,19373.5,True,True,167
BA,45,10,4.0,7.0,744,0.989,19874.0,True,True,156
BA,46,1,11.0,15.0,746,0.994,21066.5,True,True,137
BA,46,5,5.0,9.0,755,0.992,21357.5,True,True,204
BA,46,10,4.0,7.0,736,0.995,19692.0,True,True,134
BA,47,1,6.0,9.0,746,0.996,20093.5,True,True,122
BA,47,5,5.0,8.0,715,0.995,19908.5,True,True,131
BA,47,10,3.0,7.0,736,0.995,20641.0,True,True,154
BA,48,1,18.0,21.0,756,0.998,19976.5,True,True,136
BA,48,5,5.0,8.0,756,0.998,20132.5,True,True,135
BA,48,10,4.0,7.0,739,0.995,20178.0,True,True,134
BA,49,1,9.0,12.0,758,0.995,20077.5,True,True,139
BA,49,5,5.0,8.0,708,0.997,19807.5,True,True,161
BA,49,10,4.0,7.0,730,0.996,19859.0,True,True,148
ER,0,1,13.0,17.0,753,0.993,20822.5,True,True,215
ER,0,5,7.0,12.0,749,0.991,20342.5,True,True,170
ER,0,10,6.0,10.0,721,0.985,20391.0,True,True,176
ER,1,1,9.0,13.0,693,0.988,19959.5,True,True,172
ER,1,5,5.0,10.0,720,0.987,19978.5,True,True,190
ER,1,10,5.0,9.0,717,0.992,19600.0,True,True,181
ER,2,1,8.0,13.0,734,0.992,20664.5,True,True,161
ER,2,5,5.0,9.0,735,0.992,20713.5,True,True,167
ER,2,10,5.0,9.0,700,0.99,19515.0,True,True,152
ER,3,1,12.0,16.0,746,0.988,19266.5,True,True,242
ER,3,5,7.0,11.0,755,0.995,20058.5,True,True,174
ER,3,10,5.0,9.0,732,0.991,20317.0,True,True,137
ER,4,1,8.0,12.0,730,0.99,19455.5,True,True,165
ER,4,5,5.0,10.0,736,0.991,19670.5,True,True,167
ER,4,10,4.0,9.0,738,0.991,19466.0,True,True,175
ER,5,1,8.0,12.0,751,0.994,20007.5,True,True,129
ER,5,5,7.0,11.0,766,0.992,19677.5,True,True,125
ER,5,10,4.0,9.0,725,0.99,19837.0,True,True,165
ER,6,1,8.0,12.0,723,0.986,19020.5,True,True,134
ER,6,5,6.0,11.0,762,0.987,19210.5,True,True,143
ER,6,10,6.0,10.0,699,0.988,20204.0,True,True,174
ER,7,1,10.0,14.0,764,0.993,20639.5,True,True,138
ER,7,5,7.0,11.0,736,0.989,20568.5,True,True,202
ER,7,10,5.0,9.0,708,0.99,18929.0,True,True,181
ER,8,1,8.0,12.0,690,0.985,19887.5,True,True,171
ER,8,5,5.0,10.0,697,0.987,19660.5,True,True,168
ER,8,10,4.0,8.0,713,0.986,19810.0,True,True,139
ER,9,1,11.0,15.0,736,0.996,19373.5,True,True,134
ER,9,5,6.0,10.0,738,0.994,19071.5,True,True,127
