topology,strategy,fraction,trial,n,beta,gamma,t10,t50,peak_infected,auc,final_size,duration
ER,none,0.0,76,1000,0.15,0.05,6,10.0,761,19898.5,0.993,120
ER,none,0.0,77,1000,0.15,0.05,6,10.0,715,19243.5,0.995,166
ER,none,0.0,78,1000,0.15,0.05,7,11.0,759,19854.5,0.989,155
ER,none,0.0,79,1000,0.15,0.05,9,14.0,723,20543.5,0.988,164
ER,none,0.0,80,1000,0.15,0.05,8,13.0,698,19406.5,0.997,195
ER,none,0.0,81,1000,0.15,0.05,6,11.0,704,19746.5,0.981,166
ER,none,0.0,82,1000,0.15,0.05,7,12.0,710,20068.5,0.991,139
ER,none,0.0,83,1000,0.15,0.05,6,11.0,717,18922.5,0.981,122
ER,none,0.0,84,1000,0.15,0.05,7,11.0,711,18782.5,0.994,138
ER,none,0.0,85,1000,0.15,0.05,6,10.0,722,19743.5,0.99,158
ER,none,0.0,86,1000,0.15,0.05,5,10.0,736,20646.5,0.994,144
ER,none,0.0,87,1000,0.15,0.05,7,11.0,726,21237.5,0.991,153
ER,none,0.0,88,1000,0.15,0.05,6,10.0,741,20158.5,0.996,136
ER,none,0.0,89,1000,0.15,0.05,6,10.0,731,20081.5,0.995,165
ER,none,0.0,90,1000,0.15,0.05,6,11.0,729,20102.5,0.987,152
ER,none,0.0,91,1000,0.15,0.05,8,12.0,732,19981.5,0.993,151
ER,none,0.0,92,1000,0.15,0.05,6,10.0,730,18946.5,0.988,157
ER,none,0.0,93,1000,0.15,0.05,7,11.0,725,20185.5,0.991,149
ER,none,0.0,94,1000,0.15,0.05,5,9.0,751,20611.5,0.987,130
ER,none,0.0,95,1000,0.15,0.05,6,10.0,727,19678.5,0.993,164
ER,none,0.0,96,1000,0.15,0.05,6,10.0,731,20153.5,0.986,209
ER,none,0.0,97,1000,0.15,0.05,6,10.0,731,20282.5,0.989,175
ER,none,0.0,98,1000,0.15,0.05,6,10.0,738,20049.5,0.987,141
ER,none,0.0,99,1000,0.15,0.05,5,9.0,707,19443.5,0.987,221
ER,random,0.01,0,1000,0.15,0.05,6,10.0,738,19353.5,0.98,172
ER,random,0.01,1,1000,0.15,0.05,6,11.0,740,20476.5,0.977,157
ER,random,0.01,2,1000,0.15,0.05,7,12.0,687,19906.5,0.981,145
ER,random,0.01,3,1000,0.15,0.05,8,13.0,712,18863.5,0.979,136
ER,random,0.01,4,1000,0.15,0.05,6,10.0,709,18991.5,0.982,161
ER,random,0.01,5,1000,0.15,0.05,6,10.0,735,20445.5,0.984,135
ER,random,0.01,6,1000,0.15,0.05,6,10.0,724,20434.5,0.977,144
ER,random,0.01,7,1000,0.15,0.05,6,10.0,756,19990.5,0.979,169
ER,random,0.01,8,1000,0.15,0.05,7,11.0,667,19234.5,0.973,182
ER,random,0.01,9,1000,0.15,0.05,5,9.0,755,19853.5,0.984,132
ER,random,0.01,10,1000,0.15,0.05,6,10.0,737,19523.5,0.981,166
ER,random,0.01,11,1000,0.15,0.05,6,10.0,747,20497.5,0.982,150
ER,random,0.01,12,1000,0.15,0.05,6,11.0,727,20741.5,0.98,200
ER,random,0.01,13,1000,0.15,0.05,6,11.0,707,19296.5,0.972,156
ER,random,0.01,14,1000,0.15,0.05,6,10.0,734,19795.5,0.985,140
