topology,trial,beta,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
BA,27,0.15,6.0,9.0,752,0.998,20977.5,True,True,156
BA,27,0.25,4.0,6.0,834,0.999,20643.5,True,True,150
BA,28,0.05,8.0,20.0,504,0.937,18648.5,True,True,155
BA,28,0.15,4.0,7.0,737,0.994,19992.5,True,True,160
BA,28,0.25,3.0,5.0,805,1.0,19938.5,True,True,166
BA,29,0.05,11.0,,471,0.935,19020.5,True,False,227
BA,29,0.15,4.0,7.0,739,0.992,19860.5,True,True,141
BA,29,0.25,4.0,6.0,832,1.0,20200.5,True,True,171
BA,30,0.05,7.0,,490,0.944,18993.5,True,False,196
BA,30,0.15,4.0,7.0,749,0.994,19934.5,True,True,138
BA,30,0.25,3.0,5.0,800,1.0,19882.5,True,True,136
BA,31,0.05,8.0,,409,0.892,16898.5,True,False,187
BA,31,0.15,5.0,8.0,772,0.997,19940.5,True,True,139
BA,31,0.25,4.0,6.0,809,1.0,20035.5,True,True,146
BA,32,0.05,9.0,,466,0.926,19008.5,True,False,166
BA,32,0.15,5.0,8.0,760,0.995,20781.5,True,True,150
BA,32,0.25,3.0,5.0,832,1.0,20365.5,True,True,225
BA,33,0.05,14.0,29.0,503,0.944,19165.5,True,True,177
BA,33,0.15,4.0,7.0,714,0.998,19756.5,True,True,146
BA,33,0.25,3.0,5.0,829,1.0,20645.5,True,True,147
BA,34,0.05,12.0,,474,0.926,18729.5,True,False,158
BA,34,0.15,6.0,9.0,699,0.999,19726.5,True,True,121
BA,34,0.25,4.0,5.0,821,0.999,19788.5,True,True,181
BA,35,0.05,11.0,,442,0.911,18586.5,True,False,167
BA,35,0.15,5.0,8.0,732,0.994,20402.5,True,True,127
BA,35,0.25,3.0,5.0,820,0.999,20529.5,True,True,142
BA,36,0.05,9.0,23.0,504,0.949,19148.5,True,True,181
BA,36,0.15,5.0,7.0,744,0.998,20468.5,True,True,141
BA,36,0.25,3.0,5.0,822,0.997,20791.5,True,True,134
BA,37,0.05,8.0,,454,0.913,17221.5,True,False,135
BA,37,0.15,5.0,8.0,723,0.994,19495.5,True,True,161
BA,37,0.25,4.0,5.0,826,0.999,19720.5,True,True,158
BA,38,0.05,13.0,,472,0.931,18271.5,True,False,161
BA,38,0.15,6.0,9.0,727,0.995,20227.5,True,True,144
BA,38,0.25,3.0,5.0,828,0.999,20061.5,True,True,177
BA,39,0.05,16.0,,466,0.927,19519.5,True,False,192
BA,39,0.15,4.0,7.0,742,0.996,20377.5,True,True,191
BA,39,0.25,3.0,5.0,834,0.999,20216.5,True,True,159
BA,40,0.05,10.0,,456,0.936,18619.5,True,False,165
BA,40,0.15,5.0,8.0,735,0.992,18670.5,True,True,151
BA,40,0.25,4.0,5.0,819,0.999,19197.5,True,True,170
BA,41,0.05,8.0,,498,0.925,18164.5,True,False,145
BA,41,0.15,3.0,7.0,752,0.996,20160.5,True,True,179
BA,41,0.25,3.0,5.0,814,0.998,19744.5,True,True,123
