topology,trial,beta,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
WS,38,0.25,6.0,13.0,753,1.0,20164.5,True,True,163
WS,39,0.05,23.0,,298,0.982,19395.5,True,False,205
WS,39,0.15,8.0,17.0,634,1.0,20103.5,True,True,139
WS,39,0.25,6.0,11.0,771,1.0,20082.5,True,True,198
WS,40,0.05,45.0,,295,0.979,19756.5,True,False,213
WS,40,0.15,8.0,18.0,626,1.0,19447.5,True,True,155
WS,40,0.25,5.0,11.0,732,1.0,19755.5,True,True,145
WS,41,0.05,34.0,,319,0.956,20090.5,True,False,214
WS,41,0.15,8.0,16.0,661,1.0,19920.5,True,True,162
WS,41,0.25,5.0,11.0,732,1.0,20406.5,True,True,138
WS,42,0.05,21.0,,353,0.981,20934.5,True,False,250
WS,42,0.15,8.0,17.0,629,1.0,19906.5,True,True,142
WS,42,0.25,5.0,11.0,752,1.0,19503.5,True,True,124
WS,43,0.05,38.0,,326,0.966,20092.5,True,False,239
WS,43,0.15,8.0,16.0,657,1.0,19934.5,True,True,158
WS,43,0.25,5.0,10.0,727,1.0,19525.5,True,True,128
WS,44,0.05,39.0,,321,0.951,18995.5,True,False,221
WS,44,0.15,9.0,20.0,604,0.998,19739.5,True,True,137
WS,44,0.25,5.0,11.0,718,1.0,19407.5,True,True,130
WS,45,0.05,26.0,,285,0.967,18245.5,True,False,233
WS,45,0.15,8.0,18.0,640,1.0,19668.5,True,True,173
WS,45,0.25,6.0,10.0,783,1.0,20273.5,True,True,170
WS,46,0.05,36.0,,319,0.974,19460.5,True,False,215
WS,46,0.15,9.0,18.0,655,1.0,20150.5,True,True,188
WS,46,0.25,5.0,10.0,760,1.0,19911.5,True,True,152
WS,47,0.05,24.0,,237,0.94,19114.5,True,False,211
WS,47,0.15,9.0,17.0,631,1.0,20215.5,True,True,144
WS,47,0.25,6.0,12.0,749,1.0,20897.5,True,True,149
WS,48,0.05,43.0,,295,0.954,18760.5,True,False,206
WS,48,0.15,9.0,17.0,663,1.0,20429.5,True,True,155
WS,48,0.25,6.0,11.0,760,1.0,20491.5,True,True,159
WS,49,0.05,42.0,,258,0.949,18329.5,True,False,223
WS,49,0.15,11.0,19.0,649,1.0,20527.5,True,True,148
WS,49,0.25,6.0,11.0,747,1.0,20311.5,True,True,137
