Outcome,F,Raw p,eta_squared,Levene p,Welch ANOVA p,Kruskal-Wallis p,Holm p
Time to 10% infection,421.8620581139204,1.6330902594490717e-87,0.739639062789237,0.0010950455783333873,1.147014298178323e-64,2.155220681268894e-50,4.899270778347215e-87
Time to 50% infection,1933.00917135562,5.274685185719931e-171,0.928657532696199,6.735023422995659e-07,4.720024657157069e-117,2.4214552978262283e-57,2.6373425928599657e-170
Peak active spreaders,961.8182044048941,1.7882593117475097e-130,0.8662545571072641,0.0028610030592117683,1.6149698057372856e-93,5.233242342856104e-46,7.153037246990039e-130
Final outbreak size,329.9012582875314,3.566316216612265e-76,0.689591117440691,2.760082459650421e-21,8.985227091195902e-64,1.9909785999416115e-50,7.13263243322453e-76
Cumulative exposure (AUC),0.4757397007110706,0.6218979443353183,0.003193403849961215,0.1303833654138387,0.643768345910161,0.7411739956514612,0.6218979443353183
