topology,trial,n,beta,gamma,t10,t50,peak_infected,auc,final_size,duration
ER,95,1000,0.15,0.05,6,10,727,19678.5,0.993,164
ER,96,1000,0.15,0.05,6,10,731,20153.5,0.986,209
ER,97,1000,0.15,0.05,6,10,731,20282.5,0.989,175
ER,98,1000,0.15,0.05,6,10,738,20049.5,0.987,141
ER,99,1000,0.15,0.05,5,9,707,19443.5,0.987,221
WS,0,1000,0.15,0.05,8,19,589,19901.5,0.999,191
WS,1,1000,0.15,0.05,10,19,636,20115.5,1.0,146
WS,2,1000,0.15,0.05,7,15,641,19462.5,0.999,174
WS,3,1000,0.15,0.05,11,20,669,19640.5,1.0,166
WS,4,1000,0.15,0.05,8,17,620,19419.5,0.998,150
WS,5,1000,0.15,0.05,10,19,651,19835.5,0.999,178
WS,6,1000,0.15,0.05,8,16,640,19283.5,0.998,142
WS,7,1000,0.15,0.05,10,17,661,19859.5,1.0,146
WS,8,1000,0.15,0.05,7,16,611,20203.5,0.999,132
WS,9,1000,0.15,0.05,8,15,673,21021.5,1.0,143
WS,10,1000,0.15,0.05,9,19,631,18951.5,1.0,154
WS,11,1000,0.15,0.05,8,19,638,21293.5,1.0,167
WS,12,1000,0.15,0.05,9,17,637,18691.5,1.0,134
WS,13,1000,0.15,0.05,8,16,603,19610.5,0.999,187
WS,14,1000,0.15,0.05,7,17,634,19840.5,1.0,128
WS,15,1000,0.15,0.05,8,17,653,20773.5,1.0,148
WS,16,1000,0.15,0.05,9,17,652,20150.5,1.0,146
WS,17,1000,0.15,0.05,9,17,632,19081.5,1.0,160
WS,18,1000,0.15,0.05,9,16,656,19299.5,1.0,134
WS,19,1000,0.15,0.05,8,18,628,21624.5,1.0,175
WS,20,1000,0.15,0.05,9,16,668,19362.5,1.0,167
WS,21,1000,0.15,0.05,9,18,618,19923.5,1.0,165
WS,22,1000,0.15,0.05,7,16,644,20299.5,0.999,186
WS,23,1000,0.15,0.05,9,21,603,19228.5,0.999,146
WS,24,1000,0.15,0.05,9,18,644,20884.5,0.999,182
WS,25,1000,0.15,0.05,10,19,611,18102.5,0.996,166
WS,26,1000,0.15,0.05,7,16,632,18991.5,1.0,194
WS,27,1000,0.15,0.05,10,19,642,19488.5,1.0,137
WS,28,1000,0.15,0.05,8,18,615,19543.5,0.999,157
WS,29,1000,0.15,0.05,9,18,631,20273.5,0.999,187
WS,30,1000,0.15,0.05,9,19,610,19017.5,1.0,147
WS,31,1000,0.15,0.05,9,17,650,20075.5,1.0,144
WS,32,1000,0.15,0.05,9,17,627,19559.5,0.999,140
WS,33,1000,0.15,0.05,7,15,670,20055.5,0.999,182
WS,34,1000,0.15,0.05,8,17,626,19450.5,1.0,164
WS,35,1000,0.15,0.05,8,17,646,20507.5,1.0,155
WS,36,1000,0.15,0.05,9,17,659,20368.5,1.0,186
WS,37,1000,0.15,0.05,9,17,642,20472.5,1.0,142
WS,38,1000,0.15,0.05,7,16,656,19586.5,1.0,140
WS,39,1000,0.15,0.05,10,18,670,19608.5,1.0,135
WS,40,1000,0.15,0.05,9,18,634,20136.5,1.0,138
WS,41,1000,0.15,0.05,9,19,601,19387.5,0.999,138
WS,42,1000,0.15,0.05,9,18,637,19757.5,1.0,167
WS,43,1000,0.15,0.05,12,19,685,20966.5,1.0,159
WS,44,1000,0.15,0.05,9,18,677,20552.5,0.999,177
WS,45,1000,0.15,0.05,10,18,659,20286.5,0.999,149
WS,46,1000,0.15,0.05,8,16,655,20145.5,0.999,154
WS,47,1000,0.15,0.05,8,17,638,19874.5,1.0,176
WS,48,1000,0.15,0.05,9,18,667,20611.5,1.0,204
WS,49,1000,0.15,0.05,8,19,618,18690.5,1.0,154
WS,50,1000,0.15,0.05,11,19,661,21195.5,0.999,158
WS,51,1000,0.15,0.05,10,20,638,19674.5,1.0,134
WS,52,1000,0.15,0.05,9,18,635,19927.5,1.0,161
WS,53,1000,0.15,0.05,8,17,656,20211.5,1.0,138
WS,54,1000,0.15,0.05,10,20,621,20262.5,1.0,199
WS,55,1000,0.15,0.05,9,17,632,20082.5,0.999,232
WS,56,1000,0.15,0.05,7,16,624,20344.5,0.999,134
WS,57,1000,0.15,0.05,7,15,666,21165.5,1.0,140
WS,58,1000,0.15,0.05,9,17,657,20490.5,1.0,143
WS,59,1000,0.15,0.05,8,18,628,19876.5,1.0,145
WS,60,1000,0.15,0.05,9,18,663,19851.5,0.999,172
WS,61,1000,0.15,0.05,10,20,616,19076.5,1.0,134
WS,62,1000,0.15,0.05,11,20,627,19405.5,1.0,192
WS,63,1000,0.15,0.05,9,19,647,19680.5,0.998,176
WS,64,1000,0.15,0.05,8,18,654,20900.5,1.0,141
WS,65,1000,0.15,0.05,7,15,653,20403.5,1.0,165
WS,66,1000,0.15,0.05,9,18,622,19379.5,1.0,168
WS,67,1000,0.15,0.05,8,17,654,19601.5,1.0,169
WS,68,1000,0.15,0.05,9,18,647,20336.5,0.999,165
WS,69,1000,0.15,0.05,10,19,636,19262.5,0.999,142
WS,70,1000,0.15,0.05,8,16,613,19407.5,1.0,143
WS,71,1000,0.15,0.05,11,20,654,20430.5,0.999,179
WS,72,1000,0.15,0.05,8,20,577,19967.5,1.0,157
WS,73,1000,0.15,0.05,9,17,647,20344.5,1.0,133
WS,74,1000,0.15,0.05,9,20,628,19761.5,1.0,154
WS,75,1000,0.15,0.05,8,16,653,20918.5,1.0,143
WS,76,1000,0.15,0.05,7,16,668,20365.5,1.0,151
WS,77,1000,0.15,0.05,7,16,638,20809.5,1.0,189
WS,78,1000,0.15,0.05,10,20,606,20107.5,1.0,149
WS,79,1000,0.15,0.05,8,18,636,20424.5,0.999,173
WS,80,1000,0.15,0.05,10,17,628,20069.5,1.0,173
WS,81,1000,0.15,0.05,10,20,624,19950.5,1.0,149
WS,82,1000,0.15,0.05,11,20,640,19089.5,0.999,156
WS,83,1000,0.15,0.05,9,18,637,19569.5,1.0,164
WS,84,1000,0.15,0.05,8,18,635,18496.5,1.0,155
WS,85,1000,0.15,0.05,8,19,623,19293.5,1.0,171
WS,86,1000,0.15,0.05,8,18,660,19912.5,1.0,215
WS,87,1000,0.15,0.05,10,21,639,19478.5,0.999,186
WS,88,1000,0.15,0.05,8,18,638,19581.5,1.0,163
WS,89,1000,0.15,0.05,9,17,629,19786.5,0.999,169
WS,90,1000,0.15,0.05,9,18,617,20174.5,1.0,189
WS,91,1000,0.15,0.05,7,17,637,19881.5,1.0,141
WS,92,1000,0.15,0.05,9,21,607,20522.5,0.999,175
WS,93,1000,0.15,0.05,8,15,658,19845.5,1.0,148
WS,94,1000,0.15,0.05,9,19,638,19872.5,1.0,162
WS,95,1000,0.15,0.05,8,16,693,19733.5,1.0,212
WS,96,1000,0.15,0.05,7,16,605,19476.5,0.999,182
WS,97,1000,0.15,0.05,8,17,678,20307.5,1.0,166
